objid,ra,dec,u,g,r,i,z,redshift
1237653653455896926,24.4547036695441,15.2705816361775,22.64406,21.44552,19.7246,18.97236,18.41293,0.9973055
1237679167159075093,24.5307664007963,15.308754400154,27.06569,21.12909,19.33625,18.50272,17.98661,0.996452
1237653652923024004,33.8587608006586,13.8482723855287,22.28872,21.63194,19.65573,18.70737,18.13166,0.9562397
1237666407381663867,29.6513320676299,-0.508862332794795,19.5884,18.38839,17.80691,17.44468,17.21685,0.9429001
1237663782601818951,34.3992922432456,-1.09438282036621,23.81271,23.88486,21.73003,21.43427,21.95517,0.9197973
1237652900212179022,2.24534651994098,-10.3837992820139,24.64383,23.97741,22.13294,21.02844,20.82387,0.9091959
1237663278465810600,2.75225991366554,1.00445745527609,18.59645,17.39178,16.80267,16.50993,16.27993,0.8889526
1237652901848154569,60.5007477108962,-4.80698991958333,22.01842,21.77017,19.49812,18.63462,18.19442,0.8739244
1237652900761567765,31.1587459639788,-8.95645473317994,21.60555,21.03116,19.18075,18.37924,18.01448,0.8718063
1237649963531698705,56.3203091209958,-5.45278704951954,21.64231,21.46897,19.63557,18.45555,17.79999,0.8618814
1237649962996662749,60.5530164243239,-5.45920832684459,23.9846,22.26977,20.40111,19.67155,19.2505,0.809442
1237666407380812360,27.7447790896683,-0.588862047392653,25.14533,22.30621,21.6117,21.10004,20.63355,0.8062288
1237656496188751933,3.20440500811037,15.5640932734138,24.65486,25.98861,14.69022,13.84438,23.8891,0.7701838
1237666299480113334,46.3646617768521,-0.936429711312468,18.12441,16.92768,16.42402,16.146,15.96395,0.7621642
1237660239777693881,52.0039636976069,-0.682579069491236,17.6857,16.0538,15.24961,14.84317,14.47633,0.7484322
1237663783668547762,18.3102834072784,-0.341684986199287,19.07778,17.64729,17.04228,16.77692,16.5951,0.7448403
1237663783138624618,34.2796355881255,-0.721145694241619,23.40379,23.35308,22.08603,20.97965,20.68658,0.7365687
1237663783134494831,24.7278634081463,-0.789588004560287,19.05673,17.58278,16.83945,16.43773,16.16644,0.7336269
1237663782596379022,21.9262617081783,-1.21561154459676,19.62571,18.34408,17.68679,17.31882,17.19849,0.7300088
1237663783138624352,34.2770530948979,-0.669636821615081,24.25215,23.0144,21.56944,21.02403,20.36279,0.7252635
1237663783143277346,44.8364126707755,-0.785502337430819,25.03557,23.03385,22.5223,21.86226,21.14039,0.7000302
1237663782595395907,19.7356419824349,-1.05334091081101,20.17053,18.48996,17.77902,17.4555,17.18565,0.6720387
1237653650767347893,14.4799324173406,13.762553384238,24.32282,21.2,20.23783,19.67386,19.87718,0.6573204
1237653652914176083,13.024917832355,15.7001652259886,24.73991,24.53603,21.59207,22.67006,19.92476,0.646792
1237663783663239520,6.14357472462599,-0.362490268656693,23.6567,22.60095,22.10931,21.80354,22.3001,0.6348949
1237652899700015168,59.2614085976235,-6.66347429977749,21.12918,17.24971,16.15034,14.72624,25.66896,0.6176214
1237663783675561257,34.2875180706224,-0.263248224646861,24.28749,22.77929,23.0082,21.7365,22.25145,0.6129439
1237663783675495188,34.2800250831362,-0.324409644104167,23.39139,24.39769,23.94167,22.65744,22.51772,0.6065273
1237663783142031989,41.9998019994788,-0.670405875549571,23.35069,22.26106,21.50736,20.6984,20.19503,0.6023461
1237652901300077211,34.9483232396443,-8.11966408013373,21.79094,20.84794,19.03068,17.99002,17.39178,0.5958616
1237663785279488398,19.0492697602644,0.896713563123649,22.70739,21.6759,20.97382,20.59393,20.50294,0.5943875
1237657069548470338,27.3724849601031,-1.02593399870396,24.99096,22.22401,20.3657,19.11541,18.58207,0.5830581
1237649962456777226,53.731724697696,-6.77428525993764,23.15971,20.98538,19.33088,18.28836,17.68851,0.5786152
1237649920036831539,8.73451376792593,15.0227288036711,23.56704,21.13191,19.48219,18.58112,18.10197,0.5688347
1237653651840958896,14.1206564655781,14.6453316369651,26.30422,21.30228,19.64281,18.49429,17.97206,0.5645638
1237649919507628492,26.8078686451937,13.7222295151526,22.55214,21.32003,19.38286,18.15466,17.63202,0.5618241
1237649918971871827,29.4222654739046,12.9000045164778,22.54549,21.18242,19.47717,18.50638,18.16272,0.5532563
1237653650773770619,29.4373847476529,12.8072024594883,22.01462,21.37837,19.53307,18.56756,17.98667,0.5529739
1237652946915885444,1.99290249797259,-10.5484662552398,25.41328,20.86188,19.5448,18.50279,17.93997,0.5513296
1237652900211851683,1.39578805958112,-10.3892693109718,27.77855,20.73012,18.85746,17.87432,17.35049,0.5507497
1237652948529119911,7.96958997398445,-9.15001982224017,21.12377,21.06189,19.12099,18.10663,17.58423,0.5497696
1237663783668220324,17.5249155844611,-0.30984531732245,22.82327,21.55204,19.81938,18.91147,18.48511,0.5478132
1237649962995351848,57.4908196296969,-5.79180135226336,23.96115,21.34072,19.65849,18.61223,17.95432,0.5466293
1237649962458743064,58.197176136559,-6.19841677741958,23.24549,21.24627,19.65014,18.80742,18.18212,0.5433207
1237679338960650695,40.7095293789424,-7.01940359145672,22.14064,21.23572,19.38829,18.43508,17.96719,0.5433183
1237652899682255232,18.2820959701556,-10.3975707034615,26.18689,21.38813,19.68778,18.58657,18.03081,0.5431266
